lr,train/loss,train/AnnealingWeight,train/min_scale_cur,train/c_l,train/psnr,epoch,created_at,val/loss,val/psnr,val/ssim
0.0005,0.042499758303165436,0.04760905648492525,0.5,0.042499758303165436,10.705835342407227,0,2022-09-03 07:02:03.469999,,,
0.0005,0.03703239560127258,0.04528713540117743,0.5,0.03703239560127258,11.303881645202637,0,2022-09-03 07:02:33.874435,,,
0.0005,0.04384766146540642,0.04307845574494792,0.5,0.04384766146540642,10.570236206054688,0,2022-09-03 07:03:03.142745,,,
0.0005,0.026678770780563354,0.04097749466664628,0.5,0.026678770780563354,12.728041648864746,0,2022-09-03 07:03:32.503414,,,
0.0005,0.02363622933626175,0.03897899866923502,0.5,0.02363622933626175,13.253918647766113,0,2022-09-03 07:04:02.310414,,,
0.0005,0.02668808400630951,0.03707797047175053,0.5,0.02668808400630951,12.726526260375977,0,2022-09-03 07:04:31.811694,,,
0.0005,0.02344072423875332,0.03526965651349772,0.5,0.02344072423875332,13.289990425109863,0,2022-09-03 07:05:00.838884,,,
0.0005,0.0382971465587616,0.0335495350676723,0.5,0.0382971465587616,11.158036231994629,0,2022-09-03 07:05:30.537992,,,
0.0005,0.017203710973262787,0.03191330493468844,0.5,0.017203710973262787,14.633479118347168,0,2022-09-03 07:06:00.319559,,,
0.0005,0.025484060868620872,0.030356874686939483,0.5,0.025484060868620872,12.927013397216797,0,2022-09-03 07:06:28.700016,,,
0.0005,0.023631274700164795,0.028876352438097736,0.5,0.023631274700164795,13.254828453063965,0,2022-09-03 07:06:57.130560,,,
0.0005,0.018349280580878258,0.027468036111371504,0.5,0.018349280580878258,14.353509902954102,0,2022-09-03 07:07:26.114116,,,
0.0005,0.02322898432612419,0.02612840418238474,0.5,0.02322898432612419,13.329397201538086,0,2022-09-03 07:07:54.886405,,,
0.0005,0.022078467532992363,0.024854106873531887,0.5,0.022078467532992363,13.550010681152344,0,2022-09-03 07:08:23.252306,,,
0.0005,0.018828436732292175,0.023641957777788977,0.5,0.018828436732292175,14.241558074951172,0,2022-09-03 07:08:52.820593,,,
0.0005,0.0252302847802639,0.02248892589103639,0.5,0.0252302847802639,12.970478057861328,0,2022-09-03 07:09:21.850291,,,
0.0005,0.023372923955321312,0.021392128032969752,0.5,0.023372923955321312,13.302569389343262,0,2022-09-03 07:09:50.285504,,,
0.0005,0.019545555114746094,0.02034882163764741,0.5,0.019545555114746094,14.079219818115234,0,2022-09-03 07:10:19.133871,,,
0.0005,0.03235795348882675,0.01935639789564702,0.5,0.03235795348882675,11.889888763427734,0,2022-09-03 07:10:48.297063,,,
0.0005,0.01376678328961134,0.018412375230683144,0.5,0.01376678328961134,15.6013765335083,0,2022-09-03 07:11:16.816766,,,
0.0005,0.022799601778388023,0.017514393094373932,0.5,0.022799601778388023,13.41042709350586,0,2022-09-03 07:11:45.008115,,,
0.0005,0.018743831664323807,0.016660206063640593,0.5,0.018743831664323807,14.261116981506348,0,2022-09-03 07:12:13.164470,,,
0.0005,0.018000170588493347,0.015847678225980148,0.5,0.018000170588493347,14.436933517456055,0,2022-09-03 07:12:41.855888,,,
0.0005,0.020120037719607353,0.015074777838571592,0.5,0.020120037719607353,13.953413009643555,0,2022-09-03 07:13:10.622591,,,
0.0005,0.02284412644803524,0.014339572247860572,0.5,0.02284412644803524,13.401955604553223,0,2022-09-03 07:13:38.969975,,,
0.0005,0.024320906028151512,0.013640223056918824,0.5,0.024320906028151512,13.129902839660645,0,2022-09-03 07:14:07.729105,,,
0.0005,0.021344028413295746,0.012974981528494262,0.5,0.021344028413295746,13.69693660736084,0,2022-09-03 07:14:36.542077,,,
0.0005,0.0177389457821846,0.012342184212256992,0.5,0.0177389457821846,14.500422477722168,0,2022-09-03 07:15:04.980855,,,
0.0005,0.01850913278758526,0.011740248785307016,0.5,0.01850913278758526,14.315839767456055,0,2022-09-03 07:15:33.423982,,,
0.0005,0.010856667533516884,0.0111676700955428,0.5,0.010856667533516884,16.632736206054688,0,2022-09-03 07:16:01.994735,,,
0.0005,0.017662743106484413,0.010623016397997013,0.5,0.017662743106484413,14.519119262695312,0,2022-09-03 07:16:30.306071,,,
0.0005,0.020091991871595383,0.010104925774728345,0.5,0.020091991871595383,13.959470748901367,0,2022-09-03 07:16:58.969714,,,
0.0005,0.01087118685245514,0.009612102729317276,0.5,0.01087118685245514,16.626930236816406,0,2022-09-03 07:17:27.471923,,,
0.0005,0.02838899753987789,0.009143314947450213,0.5,0.02838899753987789,12.458200454711914,0,2022-09-03 07:17:55.925375,,,
